response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
1,Post Grad,A,Easy,Objects,,Inheritance is great,Functions/Recursion,,Not sure why functions is grouped with recursion. Recursion requires people to think about problems differently ,Doing more coding problems ,Variables,,It was easy for me but maybe not for others ,"I think this would be interesting but I like seeing things visually with examples. If this gaming format provided that, I might find it beneficial."
2,High School,A,Neutral,Algos,,I liked the logic behind ,Functions/Recursion,,.,Practice,Loops,,Easy to understand,Yes for school aged kids with Dyer am motivation to learn. Not for adults with internal motivation.
3,Undergrad,B,Difficult,Other,RDBMS,Interest in analytics ,Algos,,Difficulty in understanding ,More time,Conditional Logic,,Easy understanding,Yes...
4,Post Grad,B,Neutral,Conditional Logic,,"I always felt if one has logic in mind on how to do do things, syntax n available methods can be implemented. Based on that understanding I always felt close to developing conditional logics",Variables,,"Well,I feel difficulty in comprehending the best way to declare method level, class level and global variables.",Still searching,Loops,,I just love writing nested loop..its just natural,That would be super beneficial to every field.
5,Undergrad,A,Easy,Algos,,it was most applicable to solving problems in every day life whether they were computer related or not,Conditional Logic,,"logic can be simplified and complicated in a lot of ways, once you get more than 3 conditionals with a few inputs it can get wild quick",some way of visualizing logic or drawing them out or showing simplification steps like algebra,Variables,,most people are familiar with simple variables from middle school algebra like x = 3 + 5,probably not.  I think learning CS by coding and solving unit tests helps most
6,Undergrad,A,Very Easy,Conditional Logic,,Everything made logical sense.,Objects,,Hard to wrap my head around what an object was.,"Not sure, watched a video where it just clicked.",Variables,,"Similar to algebra, so it was easy to pick up.","Yes, it would have allowed me to see real world uses of it in a controlled environement."
7,Undergrad,A,Neutral,Functions/Recursion,,power of coding,Objects,,abstract,more examples,Lists/Arrays,,straightfoward,yes. it sounds fun
8,Post Grad,A,Neutral,Other,,not sure?,Other,pointers,you have to get a mental model of computer memory working in your head,practice makes perfect,Linked Lists,,not sure,"Probably not, I can learn fine through textbooks, and have the motivation to follow through"
9,Undergrad,A,Easy,Algos,,First exposure to improving performance by being clever.,Other,Dynamic Programming ,Did not understand the representation of states.,If someone had said this axis is the current state.,Loops,,Been doing it for years. Conditional logic and variables in this category also.,I never took a formal class. I learned in my own. Robotics helped I’m not sure gamefication would have helped.
10,Undergrad,B,Neutral,Conditional Logic,,I used it most frequently.,Algos,,It required a lot of complex mathematical equations.,Provide me background knowledge in computer science.,Conditional Logic,,I knew it better than other topics.,"Not sure because I have not tried it. If I have to say Yes or No, and I will say No, because I do not play games."
11,Undergrad,A,Neutral,Algos,,Because it was helping me to build programming logics,Linked Lists,,In C days it was difficult to keep a track of pointers :) ,learning and practice,Variables,,because it was the first usually we get introduced ,"yes, it will benefits because people will learn without much stress that they are studying rather then they will be happing as they are playing. "
12,Undergrad,A,Neutral,Algos,,the algorithm problem is interesting.,Algos,,its principle is hard to understand,"teachers, friends.",Loops,,"it is easily understand,","Yeah, it will guide to me think about lots of questions rather than just reading the book"
13,High School,A,Neutral,Algos,,Algorithms allow for more high level puzzle solving which I find interesting,Objects,,"the abstraction is difficult to understand sometimes at first, and I've taught undergrads who hit this wall as well","Perhaps more examples, explanations of why it's useful",Conditional Logic,,It's pretty intuitive,"At an intro level it's hard to tell. I think some concepts could be useful, especially with games that enforce repetition and memorization"
14,Undergrad,C,Very Difficult,Conditional Logic,,easiest one to understand,Variables,,defining variable types was hard to understand like void,more intro level training,Conditional Logic,,straightforward,"No, I think the contents are more important than gamification."
15,High School,A,Neutral,Objects,,It was an interesting way of thinking about programmatic structure.,Functions/Recursion,,Recursion is probably the most foreign concept when first learning about programming.,Perhaps better analogies to previously learned material might have helped.,Variables,,"If you take algebra before programming, you know what variables are.",Sure. It might have made things more entertaining and engaging.
